semester_id,name,name_code,credit,major_abbr
1,Toán cao cấp 1,2113431,2,KHDL16
1,Giáo dục thể chất 1,2120405,2,KHDL16
1,Giáo dục Quốc phòng và An ninh 1,2120501,4,KHDL16
1,Nhập môn Tin học,2101539,2,KHDL16
1,Nhập môn Lập trình,2101622,2,KHDL16
1,Triết học Mác - Lênin,2112012,3,KHDL16
1,Kỹ năng làm việc nhóm,2132001,2,KHDL16
2,Giáo dục quốc phòng và an ninh 2,2120502,4,KHDL16
2,Giáo dục thể chất 2,2120406,2,KHDL16
2,Hệ thống Máy tính,2101567,4,KHDL16
2,Kỹ thuật lập trình,2101405,3,KHDL16
2,Kinh tế chính trị Mác - Lênin,2112013,2,KHDL16
2,Tiếng anh 1,2111250,3,KHDL16
2,Kỹ năng xây dựng kế hoạch,2132002,3,KHDL16
2,Quản trị doanh nghiệp,2107510,3,KHDL16
2,Kế toán cơ bản,2127481,3,KHDL16
2,Môi trường và con người,2123800,3,KHDL16
2,Quản trị học,2107483,3,KHDL16
2,Giao tiếp kinh doanh,2107492,3,KHDL16
3,Toán cao cấp 2,2113432,2,KHDL16
3,Lập trình hướng đối tượng,2101623,3,KHDL16
3,Cấu trúc dữ liệu và giải thuật,2101409,4,KHDL16
3,Hệ cơ sở dữ liệu,2101436,4,KHDL16
3,Cấu trúc rời rạc,2101402,3,KHDL16
3,Tiếng Anh 2,2111300,3,KHDL16
3,Logic học,2113438,3,KHDL16
3,Phương pháp tính,2113435,3,KHDL16
3,Vật lý đại cương,2113437,3,KHDL16
3,Toán ứng dụng,2113434,3,KHDL16
3,Hàm phức và phép biến đổi Laplace,2113436,3,KHDL16
4,Pháp luật đại cương,2131472,2,KHDL16
4,Mạng máy tính,2101435,3,KHDL16
4,Nhập môn Khoa học Dữ liệu,2101680,3,KHDL16
4,Xác suất trong Khoa học Dữ liệu,2101676,2,KHDL16
4,Phương pháp luận nghiên cứu khoa học,2113433,2,KHDL16
4,Giải thuật và tối ưu hóa phân tán,2101677,3,KHDL16
4,Trực quan hóa dữ liệu,2101678,3,KHDL16
4,Đại số tuyến tính tính toán,2101679,3,KHDL16
4,Quá trình ngẫu nhiên,2101682,2,KHDL16
4,Các ngôn ngữ truy vấn cơ sở dữ liệu,2101683,2,KHDL16
4,Kiến trúc hướng dịch vụ và Điện toán đám mây,2010684,2,KHDL16
5,Trí tuệ nhân tạo,2101419,3,KHDL16
5,Tối ưu hóa cho Khoa học dữ liệu,2101685,3,KHDL16
5,Những vấn đề xã hội và đạo đức nghề nghiệp,2101655,3,KHDL16
5,Lập trình phân tích dữ liệu,2101681,3,KHDL16
5,Thống kê máy tính và ứng dụng,2101624,3,KHDL16
5,Phân tích chuỗi thời gian,2101686,3,KHDL16
5,Xử lý ảnh,2101698,3,KHDL16
5,Kỹ thuật tài chính,2101687,3,KHDL16
6,Chủ nghĩa xã hội khoa học,2112014,2,KHDL16
6,Phát triển ứng dụng,2101657,3,KHDL16
6,Khai thác dữ liệu và ứng dụng,2101627,3,KHDL16
6,Máy học,2101631,3,KHDL16
6,Tiếp thị điện tử,2101544,3,KHDL16
6,Tương tác người máy,2101428,3,KHDL16
6,Giao dịch định lượng,2101689,3,KHDL16
6,Nhập môn Robot,2101688,3,KHDL16
6,Công nghệ phần mềm,2101420,3,KHDL16
6,Tính toán song song,2101690,3,KHDL16
6,Khai phá đồ thị,2101691,3,KHDL16
7,Lịch sử Đảng Cộng sản Việt Nam,2112015,2,KHDL16
7,Tư tưởng Hồ Chí Minh,2112005,2,KHDL16
7,Nhập môn dữ liệu lớn,2101582,3,KHDL16
7,Học sâu,2101650,3,KHDL16
7,Hệ khuyến nghị,2101692,3,KHDL16
7,Nhập môn an toàn thông tin,2101411,3,KHDL16
7,Lý thuyết trò chơi,2101693,3,KHDL16
7,Tâm lý học đại cương,2110585,3,KHDL16
7,Xã hội học,2113439,3,KHDL16
7,Cơ sở văn hóa Việt Nam,2111491,3,KHDL16
7,Tiếng Việt thực hành,2111492,3,KHDL16
7,Âm nhạc – Nhạc lý và Guitar căn bản,2112011,3,KHDL16
7,Hội họa,2106529,3,KHDL16
8,Các nền tảng dữ liệu,2101724,3,KHDL16
8,Công nghệ mới trong phát triển ứng dụng CNTT,2101561,3,KHDL16
8,Thị giác máy tính,2101694,3,KHDL16
8,Xử lý ngôn ngữ tự nhiên,2101444,3,KHDL16
8,Phân tích dữ liệu Bayesian,2101695,3,KHDL16
8,Đảm bảo chất lượng và Kiểm thử phần mềm,2101634,3,KHDL16
8,Phân tích kinh doanh,2101696,3,KHDL16
8,Giải tích ngẫu nhiên cho tài chính,2101697,3,KHDL16
9,Thực tập doanh nghiệp,2101521,5,KHDL16
9,Khóa luận tốt nghiệp,2101700,5,KHDL16
9,Chứng chỉ TOEIC 450,2199450,0,KHDL16
